Name,City,Zip,County,Latitude,Longtitude,Type
DINUBA BRANCH LIBRARY,DINUBA,93618,Tulare,36.54328,-119.38707,Library
EARLIMART LIBRARY,EARLIMART,93219,Tulare,35.88492,-119.26914,Library
EXETER LIBRARY,EXETER,93221,Tulare,36.29403,-119.13856,Library
FARMERSVILLE BRANCH LIBRARY,FARMERSVILLE,93223,Tulare,36.30206,-119.20293,Library
IVANHOE LIBRARY,IVANHOE,93235,Tulare,36.38717,-119.21789,Library
LINDSAY LIBRARY,LINDSAY,93247,Tulare,36.20357,-119.08949,Library
LONDON BRANCH LIBRARY,DINUBA,93618,Tulare,36.47698,-119.44491,Library
OROSI BRANCH LIBRARY,OROSI,93647,Tulare,36.54498,-119.29043,Library
PIXLEY LIBRARY,PIXLEY,93256,Tulare,35.96533,-119.29142,Library
SPRINGVILLE LIBRARY,SPRINGVILLE,93265,Tulare,36.13374,-118.813,Library
STRATHMORE LIBRARY,STRATHMORE,93267,Tulare,36.1465,-119.05804,Library
TERRA BELLA LIBRARY,TERRA BELLA,93270,Tulare,35.95579,-119.03967,Library
THREE RIVERS LIBRARY,THREE RIVERS,93271,Tulare,36.44222,-118.90123,Library
TIPTON LIBRARY,TIPTON,93272,Tulare,36.06079,-119.31029,Library
VISALIA BRANCH LIBRARY,VISALIA,93291,Tulare,36.33212,-119.29346,Library
