County,Name,Type,City,Zip,Latitude,Longitude
Alameda,Castlemont High,High,Oakland,94605,37.75884,-122.16369
Alameda,Fremont High,High,Oakland,94601,37.7744,-122.20972
Alameda,LPS Oakland R & D Campus,High,Oakland,94605,37.760231,-122.16345
Alameda,Aspire College Academy,Elementary,Oakland,94605,37.76139,-122.17054
Alameda,Downtown Charter Academy,Middle,Oakland,94606,37.78041,-122.24109
Alameda,East Bay Innovation Academy,K-12,Oakland,94605,37.74542,-122.14067
Alameda,Rudsdale Continuation,Continuation,Oakland,94605,37.76573,-122.15392
Alameda,Street Academy (Alternative),Alternative Schools of Choice,Oakland,94609,37.81816,-122.26565
Alameda,LIFE Academy,K-12,Oakland,94601,37.78498,-122.21655
Alameda,Lighthouse Community Charter,Elementary,Oakland,94621,37.73603,-122.19647
Alameda,Aspire Lionel Wilson College Preparatory Academy,K-12,Oakland,94603,37.72951,-122.17989
Alameda,Aspire Triumph Technology Academy,Elementary,Oakland,94605,37.77364,-122.18214
Alameda,Francophone Charter School of Oakland,Elementary,Oakland,94605,37.7514,-122.157
Alameda,Conservatory of Vocal/Instrumental Arts High,High,Oakland,94619,37.78935,-122.16536
Alameda,Dewey Academy,Continuation,Oakland,94606,37.79693,-122.25839
Alameda,Lodestar: A Lighthouse Community Charter Public,K-12,Oakland,94603,37.73403,-122.17776
Alameda,Skyline High,High,Oakland,94619,37.79852,-122.16062
Alameda,Allendale Elementary,Elementary,Oakland,94619,37.78848,-122.20471
Alameda,Brookfield Elementary,Elementary,Oakland,94603,37.73466,-122.18948
Alameda,Burckhalter Elementary,Elementary,Oakland,94605,37.77523,-122.16699
Alameda,Carl B. Munck Elementary,Elementary,Oakland,94619,37.79498,-122.17388
Alameda,Howard Elementary,Elementary,Oakland,94605,37.76224,-122.15269
Alameda,Cleveland Elementary,Elementary,Oakland,94606,37.80395,-122.24397
Alameda,Emerson Elementary,Elementary,Oakland,94609,37.83421,-122.25827
Alameda,Franklin Elementary,Elementary,Oakland,94606,37.79344,-122.24874
Alameda,Garfield Elementary,Elementary,Oakland,94606,37.78642,-122.2357
Alameda,Grass Valley Elementary,Elementary,Oakland,94605,37.75277,-122.1255
Alameda,New Highland Academy,Elementary,Oakland,94621,37.75171,-122.179
Alameda,Horace Mann Elementary,Elementary,Oakland,94601,37.7739,-122.2027
Alameda,Laurel Elementary,Elementary,Oakland,94619,37.79289,-122.19651
Alameda,Manzanita Community,Elementary,Oakland,94601,37.79218,-122.22499
Alameda,Markham Elementary,Elementary,Oakland,94605,37.76555,-122.17887
Alameda,Bridges Academy,Elementary,Oakland,94601,37.76744,-122.20716
Alameda,Parker Elementary,Elementary,Oakland,94605,37.76548,-122.16569
Alameda,Peralta Elementary,Elementary,Oakland,94609,37.84954,-122.25874
Alameda,Redwood Heights Elementary,Elementary,Oakland,94619,37.79754,-122.18616
Alameda,Madison Park Academy TK-5,Elementary,Oakland,94603,37.72761,-122.1773
Alameda,Esperanza Elementary,Elementary,Oakland,94603,37.7368,-122.1736
Alameda,ACORN Woodland Elementary,Elementary,Oakland,94621,37.75304,-122.18628
Alameda,Frick United Academy of Language,Middle,Oakland,94605,37.7718,-122.18447
Alameda,Roosevelt Middle,Middle,Oakland,94606,37.78991,-122.23715
Alameda,Madison Park Academy 6-12,K-12,Oakland,94603,37.727297,-122.17884
Alameda,La Escuelita Elementary,Elementary,Oakland,94606,37.795992,-122.25847
Alameda,Oakland Charter Academy,Middle,Oakland,94601,37.77513,-122.213
Alameda,"Independent Study, Sojourner Truth",Alternative Schools of Choice,Oakland,94605,37.76597,-122.15368
Alameda,Aspire Monarch Academy,Elementary,Oakland,94603,37.74268,-122.1678
Alameda,ASCEND,Elementary,Oakland,94601,37.77328,-122.22066
Alameda,International Community,Elementary,Oakland,94601,37.77978,-122.23056
Alameda,Melrose Leadership Academy,Elementary,Oakland,94619,37.78041,-122.19798
Alameda,Urban Promise Academy,Middle,Oakland,94601,37.78211,-122.2248
Alameda,Lincoln High (Continuation),Continuation,San Leandro,94579,37.70873,-122.1599
Alameda,San Leandro High,High,San Leandro,94577,37.71836,-122.14149
Alameda,Garfield Elementary,Elementary,San Leandro,94577,37.70374,-122.1854
Alameda,Jefferson Elementary,Elementary,San Leandro,94578,37.71285,-122.13577
Alameda,Madison Elementary,Elementary,San Leandro,94579,37.69568,-122.16111
Alameda,McKinley Elementary,Elementary,San Leandro,94577,37.71928,-122.14716
Alameda,Monroe Elementary,Elementary,San Leandro,94578,37.69922,-122.14608
Alameda,Roosevelt Elementary,Elementary,San Leandro,94577,37.73591,-122.1465
Alameda,Washington Elementary,Elementary,San Leandro,94577,37.73306,-122.15723
Alameda,Wilson Elementary,Elementary,San Leandro,94577,37.71595,-122.16668
Alameda,Bancroft Middle,Middle,San Leandro,94577,37.72829,-122.14744
